timestamp,experiment,towers,shared_ledgers,container,cpu_percent,memory_bytes,network_rx_bytes,network_tx_bytes,block_read_bytes,block_write_bytes
2026-09-06T02:30:38+02:00,1,2,1,upf,0.03,28384952,60900,148000,4100,77800
2026-09-06T02:30:38+02:00,1,2,1,smf,0.00,41817211,101000,302000,0,65500
2026-09-06T02:30:38+02:00,1,2,1,amf,0.00,72257372,116000,300000,0,32800
2026-09-06T02:30:38+02:00,1,2,1,udr,0.00,7303332,95800,43500,0,0
2026-09-06T02:30:38+02:00,1,2,1,pcf,0.03,8233419,98300,137000,0,0
2026-09-06T02:30:38+02:00,1,2,1,ausf,0.00,5934940,50700,29600,0,24600
2026-09-06T02:30:38+02:00,1,2,1,udm,0.00,6254756,70700,52800,4100,12300
2026-09-06T02:30:38+02:00,1,2,1,bsf,0.00,6001000,42600,15300,0,0
2026-09-06T02:30:38+02:00,1,2,1,nssf,0.00,5788140,32200,11600,0,0
2026-09-06T02:30:38+02:00,1,2,1,scp,0.00,8175747,401000,368000,0,24600
2026-09-06T02:30:38+02:00,1,2,1,nrf,0.00,6635389,135000,127000,0,0
2026-09-06T02:30:38+02:00,1,2,1,webui,0.01,139460608,379000,34400,0,1510000
2026-09-06T02:30:38+02:00,1,2,1,mongo,108.31,122788250,63200,86700,46000000,3040000
2026-09-06T02:30:38+02:00,1,2,1,grafana,0.06,175741338,37100,5530,77100000,500000
2026-09-06T02:30:38+02:00,1,2,1,metrics,0.10,37612421,737000,135000,16200000,65500
2026-09-06T02:30:41+02:00,1,2,1,nr_gnb_2,0.03,4686086,5030,3120,0,0
2026-09-06T02:30:41+02:00,1,2,1,nr_ue_1,0.05,3309306,2280,1750,0,0
2026-09-06T02:30:41+02:00,1,2,1,nr_gnb_1,0.04,4660920,5600,3180,0,0
2026-09-06T02:30:41+02:00,1,2,1,upf,0.00,27892122,63500,149000,4100,77800
2026-09-06T02:30:41+02:00,1,2,1,smf,0.01,42131784,113000,314000,0,73700
2026-09-06T02:30:41+02:00,1,2,1,amf,0.00,97528054,132000,322000,0,49200
2026-09-06T02:30:41+02:00,1,2,1,udr,0.00,7348421,119000,56000,0,0
2026-09-06T02:30:41+02:00,1,2,1,pcf,0.00,8003781,111000,144000,0,0
2026-09-06T02:30:41+02:00,1,2,1,ausf,0.00,6213861,57200,36000,0,28700
2026-09-06T02:30:41+02:00,1,2,1,udm,0.00,6836716,84400,67900,4100,12300
2026-09-06T02:30:41+02:00,1,2,1,bsf,0.00,6267339,45100,16800,0,0
2026-09-06T02:30:41+02:00,1,2,1,nssf,0.00,5788140,33200,12000,0,0
2026-09-06T02:30:41+02:00,1,2,1,scp,0.00,9121563,462000,427000,0,32800
2026-09-06T02:30:41+02:00,1,2,1,nrf,0.00,6897533,139000,129000,0,0
2026-09-06T02:30:41+02:00,1,2,1,webui,0.01,139460608,380000,34700,0,1510000
2026-09-06T02:30:41+02:00,1,2,1,mongo,0.22,124256256,72400,107000,46000000,3220000
2026-09-06T02:30:41+02:00,1,2,1,grafana,0.02,175531622,37900,5530,77100000,500000
2026-09-06T02:30:41+02:00,1,2,1,metrics,0.10,36563845,749000,137000,16200000,69600
2026-09-06T02:30:45+02:00,1,2,1,nr_ue_2,0.06,3305112,2540,2110,0,0
2026-09-06T02:30:45+02:00,1,2,1,nr_gnb_2,0.04,4681892,6060,3400,0,0
2026-09-06T02:30:45+02:00,1,2,1,nr_ue_1,0.04,3305112,2970,2170,0,0
2026-09-06T02:30:45+02:00,1,2,1,nr_gnb_1,0.03,4660920,6500,3460,0,0
2026-09-06T02:30:45+02:00,1,2,1,upf,0.00,27892122,64600,153000,4100,77800
2026-09-06T02:30:45+02:00,1,2,1,smf,0.00,41869640,114000,320000,0,77800
2026-09-06T02:30:45+02:00,1,2,1,amf,0.04,97538540,133000,328000,0,53200
2026-09-06T02:30:45+02:00,1,2,1,udr,0.00,7348421,120000,56000,0,0
2026-09-06T02:30:45+02:00,1,2,1,pcf,0.00,7745831,112000,147000,0,4100
2026-09-06T02:30:45+02:00,1,2,1,ausf,0.00,5955912,57600,36000,0,32800
2026-09-06T02:30:45+02:00,1,2,1,udm,0.00,6319768,84700,67900,4100,12300
2026-09-06T02:30:45+02:00,1,2,1,bsf,0.00,6008340,45400,16800,0,0
2026-09-06T02:30:45+02:00,1,2,1,nssf,0.00,5788140,33500,12000,0,0
2026-09-06T02:30:45+02:00,1,2,1,scp,0.00,8364491,462000,427000,0,36900
2026-09-06T02:30:45+02:00,1,2,1,nrf,0.00,6639583,139000,129000,0,0
2026-09-06T02:30:45+02:00,1,2,1,webui,0.00,139565466,382000,35400,0,1510000
2026-09-06T02:30:45+02:00,1,2,1,mongo,0.24,123941683,73200,108000,46000000,3220000
2026-09-06T02:30:45+02:00,1,2,1,grafana,0.03,175531622,38300,5530,77100000,500000
2026-09-06T02:30:45+02:00,1,2,1,metrics,0.04,36563845,760000,140000,16200000,73700
2026-09-06T02:30:51+02:00,1,2,1,fabric-peer-2,0.43,33176945,642,126,139000,3070000
2026-09-06T02:30:51+02:00,1,2,1,fabric-peer-1,0.41,32537313,922,126,0,3100000
2026-09-06T02:30:51+02:00,1,2,1,fabric-orderer-1,0.01,15403581,1240,126,147000,332000
2026-09-06T02:30:51+02:00,1,2,1,fabric-ca,7.04,16557015,40300,72200,0,5070000
2026-09-06T02:30:51+02:00,1,2,1,nr_ue_2,0.04,3309306,3660,2510,0,0
2026-09-06T02:30:51+02:00,1,2,1,nr_gnb_2,0.03,4681892,7100,4090,0,0
2026-09-06T02:30:51+02:00,1,2,1,nr_ue_1,0.05,3309306,4010,2690,0,0
2026-09-06T02:30:51+02:00,1,2,1,nr_gnb_1,0.03,4660920,7660,4150,0,0
2026-09-06T02:30:51+02:00,1,2,1,upf,0.01,27892122,65900,156000,4100,77800
2026-09-06T02:30:51+02:00,1,2,1,smf,0.03,41869640,116000,326000,0,77800
2026-09-06T02:30:51+02:00,1,2,1,amf,0.06,97528054,134000,334000,0,53200
2026-09-06T02:30:51+02:00,1,2,1,udr,0.00,7352615,120000,56400,0,0
2026-09-06T02:30:51+02:00,1,2,1,pcf,0.00,7750025,113000,150000,0,4100
2026-09-06T02:30:51+02:00,1,2,1,ausf,0.00,5955912,58300,36400,0,32800
2026-09-06T02:30:51+02:00,1,2,1,udm,0.00,6319768,85400,68300,4100,12300
2026-09-06T02:30:51+02:00,1,2,1,bsf,0.00,6008340,46000,17200,0,0
2026-09-06T02:30:51+02:00,1,2,1,nssf,0.00,5788140,34100,12400,0,0
2026-09-06T02:30:51+02:00,1,2,1,scp,0.00,8646558,468000,432000,0,36900
2026-09-06T02:30:51+02:00,1,2,1,nrf,0.00,6647972,143000,130000,0,0
2026-09-06T02:30:51+02:00,1,2,1,webui,0.08,139775181,384000,36100,0,1510000
2026-09-06T02:30:51+02:00,1,2,1,mongo,0.29,124780544,74000,109000,46000000,3260000
2026-09-06T02:30:51+02:00,1,2,1,grafana,0.01,175531622,38700,5530,77100000,500000
2026-09-06T02:30:51+02:00,1,2,1,metrics,0.00,36553359,783000,144000,16200000,102000
2026-09-06T02:30:55+02:00,1,2,1,fabric-peer-2,0.37,37539021,37600,33100,139000,3070000
2026-09-06T02:30:55+02:00,1,2,1,fabric-peer-1,0.43,43568333,135000,130000,0,3180000
